,R,G,B
cl1_p12_lagoinha_deixa1_g0005,208,227,254
cl1_p4_brava_deixa3_a0009,204,196,152
cl1_p2_joaq_dunaiii_g0003,179,178,130
cl1_p4_brava_deixa4_d0009,186,167,6
cl1_p12_moca1_limsup5_f0011op2,171,174,182
cl1_p2_joaq_dunai_c0012,180,178,121
cl1_p2_psul_deixa6_a0005,190,175,100
cl1_p2_joaq_dunaiii_g0008,146,126,10
cl1_p2_joaq_dunai_d0001,220,212,129
cl1_p4_brava_deixa4_e0001,143,147,164
cl1_p4_brava_deixa3_a0007,133,123,75
cl1_p4_brava_deixa3_a0010,153,135,7
cl1_p12_moca2_deixa4_b0004,157,156,134
cl1_p12_lagoinha_deixa2_h0008,214,229,253
cl1_p4_brava_deixa5_f0007,149,146,142
cl1_p4_brava_deixa5_f0008,145,153,177
cl1_p3_brava_deixa2_f0012,205,202,182
cl1_p4_brava_deixa4_d0008,166,186,214
cl1_p1_psul_deixa1_g0005,152,116,3
cl1_p3_joaq_dunaiii_a0002,185,131,2
cl1_p4_brava_deixa6_h0001,165,140,10
cl1_p4_brava_deixa5_f0005,145,143,137
cl1_p2_joaq_dunaiii_h0009,209,193,65
cl1_p4_brava_deixa5_f0009,148,161,188
cl1_p3_brava_limsup6_e0002,187,178,136
cl1_p3_brava_deixa3_h0011,186,186,164
cl1_p12_moca2_deixa4_c0005,163,166,191
cl1_p12_moca2_deixa4_b0007,170,171,151
cl1_p4_brava_deixa4_d0002,167,151,3
cl1_p4_brava_deixa3_a0008,191,173,88
cl1_p3_brava_deixa2_g0004,178,171,121
cl1_p2_joaq_dunaiii_g0006,155,159,149
cl1_p6_moca2_deixa3_a0003,158,184,246
cl1_p4_brava_deixa5_f0010,132,68,10
cl1_p12_moca2_deixa4_c0008,131,112,33
cl1_p3_brava_deixa0_f0005,163,160,137
cl1_p4_brava_deixa3_a0003,157,158,132
cl1_p3_brava_deixa2_f0011,181,181,147
cl1_p2_joaq_limsup1_b0003,176,168,96
cl1_p2_joaq_dunai_d0006,179,176,128
cl1_p2_joaq_dunaiii_f0012,178,170,122
cl1_p4_brava_deixa4_d0012,168,181,146
cl1_p3_joaq_dunaiii_a0006,216,205,48
cl1_p4_verão_brava_deixa6_h0009,148,153,165
cl1_p4_brava_deixa5_e0011,140,148,166
cl1_p4_brava_deixa6_h0002,154,162,188
cl1_p12_lagoinha_deixa1_g0007,140,137,129
cl1_p4_brava_deixa3_a0006,147,143,102
cl1_p3_brava_deixa3_h0012,208,202,149
cl1_p6_moca2_deixa3_a0004,162,160,149
cl1_p3_brava_limsup6_d0010,227,226,184
cl1_p9_moca2_deixa5_b0001,193,192,198
cl1_p5_moca2_deixa2_c0001,145,159,210
cl1_p4_brava_deixa4_d0004,131,161,173
cl1_p4_brava_deixa6_g0006,76,93,119
cl1_p5_moca2_deixa1_a0002,163,193,254
cl1_p2_joaq_dunai_c0004,185,159,38
cl1_p4_brava_deixa4_d0006,176,182,203
cl1_p2_joaq_dunaiii_g0009,180,167,117
cl1_p4_brava_deixa6_g0012,161,150,104
cl1_p12_moca2_deixa4_c0003,150,148,151
cl1_p2_joaq_dunai_c0007,224,211,83
cl1_p2_joaq_dunaiii_h0002,178,170,114
cl1_p6_moca2_deixa3_b0002,137,201,253
