,Comparação das Metodologias,Classe Visual,Classe Rotina
cl1_p12_moca2_deixa4_a0004,Classes Diferentes,muito alto,alto
cl1_p3_brava_deixa2_g0004,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa3_a0007,Mesma Classe,baixo,baixo
cl1_p5_moca2_deixa2_c0002,Mesma Classe,nulo,nulo
cl1_p12_lagoinha_deixa1_g0005,Mesma Classe,nulo,nulo
cl1_p6_moca2_deixa3_a0004,Classes Diferentes,alto,baixo
cl1_p4_brava_deixa5_f0005,Mesma Classe,baixo,baixo
cl1_p8_moca2_deixa5_b0003,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa6_g0006,Classes Diferentes,nulo,baixo
cl1_p12_moca2_deixa4_b0008,Mesma Classe,nulo,nulo
cl1_p3_joaq_dunaiii_a0006,Classes Diferentes,alto,moderado
cl1_p2_joaq_dunai_c0012,Classes Diferentes,moderado,baixo
cl1_p3_brava_deixa3_h0005,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunai_c0001,Classes Diferentes,baixo,nulo
cl1_p12_moca2_deixa4_c0005,Mesma Classe,nulo,nulo
cl1_p2_joaq_dunaiii_g0005,Classes Diferentes,moderado,baixo
cl1_p2_joaq_dunaiii_h0010,Classes Diferentes,muito alto,alto
cl1_p2_joaq_dunaiii_h0002,Mesma Classe,baixo,baixo
cl1_p8_moca2_deixa5_a0003,Classes Diferentes,moderado,baixo
cl1_p4_brava_deixa5_f0007,Mesma Classe,baixo,baixo
cl1_p3_brava_deixa3_h0010,Mesma Classe,baixo,baixo
cl1_p8_moca2_deixa5_b0004,Classes Diferentes,moderado,baixo
cl1_p4_moca2_deixa1_h0012,Mesma Classe,nulo,nulo
cl1_p4_brava_deixa5_e0011,Mesma Classe,nulo,nulo
cl1_p2_joaq_dunaiii_h0003,Classes Diferentes,moderado,baixo
cl1_p2_joaq_limsup2_b0004,Classes Diferentes,alto,moderado
cl1_p11_moca2_deixa5_a0001,Mesma Classe,baixo,baixo
cl1_p5_moca2_deixa2_c0001,Mesma Classe,nulo,nulo
cl1_p4_brava_deixa3_b0012,Classes Diferentes,moderado,baixo
cl1_p12_lagoinha_deixa1_g0008,Classes Diferentes,moderado,baixo
cl1_p12_moca2_deixa4_b0010,Classes Diferentes,alto,baixo
cl1_p3_brava_deixa0_f0003,Classes Diferentes,nulo,baixo
cl1_p4_brava_deixa3_a0012,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa4_d0002,Mesma Classe,alto,alto
cl1_p9_moca2_deixa5_b0001,Classes Diferentes,baixo,nulo
cl1_p2_joaq_dunai_d0002,Classes Diferentes,moderado,baixo
cl1_p4_brava_deixa3_c0004,Classes Diferentes,baixo,nulo
cl1_p2_joaq_dunai_e0005,Classes Diferentes,muito alto,baixo
cl1_p6_moca2_deixa3_a0005,Classes Diferentes,moderado,nulo
cl1_p2_joaq_dunaiii_h0001,Mesma Classe,alto,alto
cl1_p3_joaq_dunaiii_a0002,Classes Diferentes,muito alto,alto
cl1_p2_joaq_dunaiii_h0012,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunai_d0001,Classes Diferentes,moderado,baixo
cl1_p2_psul_deixa6_a0005,Classes Diferentes,moderado,baixo
cl1_p1_psul_limsup4_e0003,Classes Diferentes,baixo,moderado
cl1_p4_brava_deixa3_a0004,Classes Diferentes,nulo,baixo
cl1_p12_lagoinha_deixa2_h0007,Classes Diferentes,alto,baixo
cl1_p4_brava_deixa3_a0003,Mesma Classe,baixo,baixo
cl1_p12_moca2_deixa4_c0006,Mesma Classe,nulo,nulo
cl1_p4_brava_deixa5_f0011,Mesma Classe,nulo,nulo
cl1_p6_moca2_deixa3_a0003,Mesma Classe,nulo,nulo
cl1_p3_brava_deixa3_h0001,Mesma Classe,baixo,baixo
cl1_p3_brava_deixa3_h0002,Mesma Classe,nulo,nulo
cl1_p2_joaq_dunai_d0004,Mesma Classe,baixo,baixo
cl1_p8_moca2_deixa5_a0004,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa4_d0005,Mesma Classe,baixo,baixo
cl1_p12_moca1_limsup5_f0011,Mesma Classe,baixo,baixo
cl1_p12_lagoinha_deixa2_h0009,Mesma Classe,alto,alto
cl1_p2_joaq_dunaiii_g0008,Classes Diferentes,moderado,muito alto
cl1_p5_moca2_deixa1_a0002,Mesma Classe,nulo,nulo
cl1_p12_lagoinha_deixa2_h0005,Classes Diferentes,baixo,nulo
cl1_p4_brava_deixa6_g0011,Classes Diferentes,alto,moderado
cl1_p4_brava_deixa6_h0002,Classes Diferentes,baixo,nulo
cl1_p4_brava_deixa3_a0009,Classes Diferentes,moderado,baixo
cl1_p4_brava_deixa4_d0004,Classes Diferentes,baixo,nulo
cl1_p4_brava_deixa4_d0010,Mesma Classe,nulo,nulo
cl1_p12_moca2_deixa4_c0008,Classes Diferentes,alto,moderado
cl1_p4_brava_deixa4_d0009,Mesma Classe,alto,alto
cl1_p2_joaq_dunaiii_g0012,Mesma Classe,alto,alto
cl1_p3_brava_limsup6_e0002,Mesma Classe,baixo,baixo
cl1_p12_lagoinha_deixa2_h0010,Mesma Classe,nulo,nulo
cl1_p12_moca2_deixa4_b0004,Mesma Classe,baixo,baixo
cl1_p3_joaq_dunaiii_a0004,Classes Diferentes,alto,baixo
cl1_p5_moca2_deixa2_b0006,Mesma Classe,nulo,nulo
cl1_p2_joaq_dunai_c0007,Classes Diferentes,alto,baixo
cl1_p3_brava_limsup4_c0002,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunaiii_g0007,Classes Diferentes,moderado,baixo
cl1_p3_brava_deixa2_g0005,Classes Diferentes,baixo,nulo
cl1_p12_lagoinha_deixa1_g0006,Classes Diferentes,baixo,nulo
cl1_p2_joaq_dunaiii_g0010,Classes Diferentes,moderado,baixo
cl1_p4_brava_deixa3_a0010,Classes Diferentes,alto,muito alto
cl1_p2_joaq_dunaiii_h0007,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunai_c0010,Classes Diferentes,nulo,baixo
cl1_p4_brava_deixa5_f0006,Mesma Classe,nulo,nulo
cl1_p2_joaq_dunai_d0006,Mesma Classe,baixo,baixo
cl1_p3_brava_deixa3_h0006,Classes Diferentes,moderado,baixo
cl1_p2_joaq_dunaiii_g0006,Classes Diferentes,nulo,baixo
cl1_p3_brava_deixa3_h0009,Mesma Classe,baixo,baixo
cl1_p3_joaq_dunaiii_a0005,Mesma Classe,alto,alto
cl1_p4_brava_deixa4_d0012,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa4_e0001,Classes Diferentes,na,nulo
cl1_p2_joaq_limsup1_b0003,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa3_a0005,Classes Diferentes,nulo,baixo
cl1_p3_brava_deixa0_f0002,Classes Diferentes,nulo,baixo
cl1_p2_joaq_dunaiii_h0008,Classes Diferentes,alto,moderado
cl1_p3_joaq_dunaiii_a0001,Classes Diferentes,moderado,baixo
cl1_p1_psul_deixa1_g0005,Mesma Classe,alto,alto
cl1_p2_joaq_dunai_e0004,Classes Diferentes,alto,baixo
cl1_p2_joaq_dunaiii_h0005,Mesma Classe,alto,alto
cl1_p12_moca2_deixa4_c0002,Classes Diferentes,nulo,baixo
cl1_p2_joaq_dunaiii_h0004,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunai_c0006,Classes Diferentes,na,nulo
cl1_p2_joaq_dunai_d0003,Mesma Classe,baixo,baixo
cl1_p2_psul_deixa6_a0007,Classes Diferentes,muito alto,moderado
cl1_p3_joaq_dunaiii_a0003,Classes Diferentes,muito alto,alto
cl1_p4_brava_deixa6_g0012,Classes Diferentes,moderado,baixo
cl1_p3_brava_deixa3_h0012,Mesma Classe,baixo,baixo
cl1_p8_moca2_deixa5_b0001,Mesma Classe,baixo,baixo
cl1_p2_joaq_dunai_e0007,Classes Diferentes,alto,moderado
cl1_p2_joaq_dunai_d0005,Mesma Classe,nulo,nulo
cl1_p4_brava_deixa6_g0009,Classes Diferentes,baixo,nulo
cl1_p4_brava_deixa4_d0007,Mesma Classe,nulo,nulo
cl1_p3_brava_deixa3_h0004,Mesma Classe,nulo,nulo
cl1_p4_brava_deixa5_f0003,Mesma Classe,baixo,baixo
cl1_p3_brava_limsup6_e0001,Classes Diferentes,nulo,baixo
cl1_p4_brava_deixa5_f0012,Classes Diferentes,muito alto,alto
cl1_p2_joaq_dunai_c0003,Mesma Classe,nulo,nulo
cl1_p3_joaq_dunaiii_a0009,Mesma Classe,alto,alto
cl1_p4_brava_deixa3_a0001,Mesma Classe,baixo,baixo
cl1_p3_brava_limsup6_d0012,Mesma Classe,nulo,nulo
cl1_p12_moca2_deixa4_b0007,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa4_d0006,Mesma Classe,nulo,nulo
cl1_p3_brava_limsup6_d0011,Classes Diferentes,nulo,baixo
cl1_p3_brava_deixa2_g0001,Mesma Classe,baixo,baixo
cl1_p4_brava_deixa5_f0009,Mesma Classe,nulo,nulo
