Imagem,Tamanho (mm),Coloração,Característica,Grau de Erosão,Índice de Erosão,Grau de Amarelamento,Índice de Amarelamento
cl1_p1_psul_deixa1_g0005,"4,4",TRANSPARENTE,DISCO,erosão moderada,2,alto,3
cl1_p1_psul_deixa1_g0006,"4,6",TRANSPARENTE,ESFERA,erosão baixa,1,moderado,2
cl1_p1_psul_deixa1_g0007,"3,2",TRANSPARENTE,DISCO,erosão moderada,2,muito alto,4
cl1_p1_psul_deixa4_h0007,5,TRANSPARENTE,RETANGULO,nulo,0,moderado,2
cl1_p1_psul_deixa5_h0011,"3,59",BRANCO,ESFERA,erosão alta,3,alto,3
cl1_p1_psul_limsup4_e0003,4,BRANCO,DISCO,nulo,0,baixo,1
cl1_p2_joaq_dunai_c0001,"4,43",TRANSPARENTE,ESFERA,erosão alta,3,baixo,1
cl1_p2_joaq_dunai_c0002,"4,27",TRANSPARENTE,ESFERA,erosão moderada,2,moderado,2
cl1_p2_joaq_dunai_c0003,"4,18",BRANCO,ESFERA,erosão moderada,2,nulo,0
cl1_p2_joaq_dunai_c0004,"3,6",TRANSPARENTE,ESFERA,erosão alta,3,alto,3
cl1_p2_joaq_dunai_c0005,"4,39",CINZA,DISCO,erosão moderada,2,na,na
cl1_p2_joaq_dunai_c0006,"3,51",CINZA,DISCO,erosão baixa,1,na,na
cl1_p2_joaq_dunai_c0007,"3,69",TRANSPARENTE,ESFERA,erosão moderada,2,alto,3
cl1_p2_joaq_dunai_c0008,"3,61",TRANSPARENTE,ESFERA,erosão moderada,2,baixo,1
cl1_p2_joaq_dunai_c0009,"2,9",BRANCO,ESFERA,erosão moderada,2,moderado,2
cl1_p2_joaq_dunai_c0010,"3,87",TRANSPARENTE,ESFERA,erosão moderada,2,nulo,0
cl1_p2_joaq_dunai_c0011,"4,39",TRANSPARENTE,ESFERA,erosão alta,3,baixo,1
cl1_p2_joaq_dunai_c0012,"5,14",TRANSPARENTE,ESFERA,erosão moderada,2,moderado,2
cl1_p2_joaq_dunai_d0001,"4,32",TRANSPARENTE,ESFERA,erosão alta,3,moderado,2
cl1_p2_joaq_dunai_d0002,"4,18",TRANSPARENTE,ESFERA,erosão moderada,2,moderado,2
cl1_p2_joaq_dunai_d0003,"3,75",TRANSPARENTE,ESFERA,erosão alta,3,baixo,1
cl1_p2_joaq_dunai_d0004,"4,3",TRANSPARENTE,ESFERA,erosão alta,3,baixo,1
cl1_p2_joaq_dunai_d0005,"3,18",TRANSPARENTE,CILINDRO,erosão moderada,2,nulo,0
cl1_p2_joaq_dunai_d0006,"4,39",TRANSPARENTE,ESFERA,erosão moderada,2,baixo,1
cl1_p2_joaq_dunai_d0007,"3,41",CINZA,ESFERA,erosão baixa,1,na,na
cl1_p2_joaq_dunai_d0008,"4,5",VERDE,CILINDRO,erosão moderada,2,na,na
cl1_p2_joaq_dunai_d0012,"3,79",BRANCO,ESFERA,erosão alta,3,moderado,2
cl1_p2_joaq_dunai_e0004,"2,83",BRANCO,ESFERA,erosão alta,3,alto,3
cl1_p2_joaq_dunai_e0005,"3,1",AMARELO,OVOIDE,erosão alta,3,muito alto,4
cl1_p2_joaq_dunai_e0007,"3,66",AMARELO,ESFERA,erosão alta,3,alto,3
cl1_p2_joaq_dunaiii_f0010,"3,92",PRETO,CILINDRO,nulo,0,na,na
cl1_p2_joaq_dunaiii_f0011,"5,07",VERMELHO,CILINDRO,erosão alta,3,na,na
cl1_p2_joaq_dunaiii_f0012,"3,75",BRANCO,DISCO,erosão baixa,1,baixo,1
cl1_p2_joaq_dunaiii_g0001,"3,48",BRANCO,DISCO,nulo,0,baixo,1
cl1_p2_joaq_dunaiii_g0002,"4,62",TRANSPARENTE,DISCO,erosão baixa,1,alto,3
cl1_p2_joaq_dunaiii_g0003,"4,92",TRANSPARENTE,DISCO,erosão moderada,2,moderado,2
cl1_p2_joaq_dunaiii_g0004,"3,84",TRANSPARENTE,DISCO,erosão baixa,1,muito alto,4
cl1_p2_joaq_dunaiii_g0005,"4,57",TRANSPARENTE,ESFERA,erosão moderada,2,moderado,2
cl1_p2_joaq_dunaiii_g0006,"3,61",TRANSPARENTE,ESFERA,erosão baixa,1,nulo,0
cl1_p2_joaq_dunaiii_g0007,"4,11",TRANSPARENTE,ESFERA,erosão baixa,1,moderado,2
cl1_p2_joaq_dunaiii_g0008,"4,2",BRANCO,DISCO,erosão baixa,1,moderado,2
cl1_p2_joaq_dunaiii_g0009,"3,5",BRANCO,ESFERA,erosão baixa,1,baixo,1
cl1_p2_joaq_dunaiii_g0010,"4,34",BRANCO,ESFERA,erosão alta,3,moderado,2
