,R,G,B
alto_cl1_p1_psul_deixa1_g0005,152,116,3
alto_cl1_p2_joaq_dunaiii_h0005,194,167,2
alto_cl1_p4_brava_deixa4_d0009,186,167,6
baixo_cl1_p2_joaq_dunaiii_h0002,178,170,114
baixo_cl1_p6_moca2_deixa3_a0005,174,191,162
baixo_cl1_p6_moca2_deixa3_a0006,186,193,155
baixo_cl1_p9_moca2_deixa5_b0001,193,192,198
moderado_cl1_p2_joaq_dunai_c0009,199,187,90
moderado_cl1_p2_joaq_dunaiii_g0008,146,126,10
moderado_cl1_p2_joaq_dunaiii_h0003,184,168,64
muitoalto_cl1_p2_joaq_dunaiii_g0004,156,111,3
muitoalto_cl1_p4_brava_deixa5_f0010,132,68,10
muitoalto_cl1_p4_brava_deixa5_f0012,130,98,4
nulo_cl1_p2_joaq_dunaiii_g0006,155,159,149
nulo_cl1_p2_joaq_dunaiii_h0006,114,119,106
nulo_cl1_p3_brava_deixa3_h0008,148,150,137
nulo_cl1_p5_moca2_deixa2_c0002,184,210,254
